class,0,1,2,3,4,5,6,7,8,9,10
Violin,0.00749707772521524,0.022522890852401917,0.027831669499667148,0.017652100150863163,0.6419301809323312,0.09954865457820662,1.0,0.1749588879495523,0.08899914518268648,0.003238372138802894,0.0008154296029965894
Violin,0.025819843263527372,0.01677294957055187,0.025820678047114364,0.01728429857448028,0.5834038185395587,0.10793583179087277,0.9999999999999998,0.15302203833710845,0.087721737729256,0.003832946726924967,0.0006362621184366504
Violin,0.031117935054226522,0.01871410708855649,0.09494429215478704,0.026575950119762427,0.8299863846974476,0.14032670460599647,1.0,0.15043731422070944,0.03509611084145736,0.003263154367568931,0.0008754779516940753
Violin,0.013172858080268125,0.024854413154229933,0.04276541948309008,0.018173566665078165,0.9999999999999998,0.10577381648623409,0.6629810878002471,0.21037894163559018,0.04362742232615634,0.00441410470782036,0.0005724029647531234
Violin,0.039655123749367915,0.054328657713696465,0.030670590062731193,0.028750722956640627,0.4998704388872964,0.17159175950700334,0.9999999999999998,0.38445301674945354,0.07860187837414288,0.003414513997214348,0.0010818783447345715
Violin,0.012744802187472495,0.023848872199127485,0.036134827077454995,0.012157306084766461,1.0,0.07553117274064125,0.84556976506624,0.4389804348041629,0.12357319132562734,0.0077670358705858875,0.0009166217336577407
Violin,0.01780335068819666,0.010947325972447087,0.03146961532815133,0.022919739729174656,0.6179716511604583,0.13868008307680652,1.0,0.34232130463707594,0.1443658493956955,0.002957841665913226,0.00056059553111745
Violin,0.03227751120837738,0.01739016776352894,0.016761902886557385,0.01374775508958048,0.682789936482635,0.09698385632549657,1.0,0.21261623617031505,0.06322099324486555,0.004760803843935657,0.0004345016583331981
Violin,0.0606712025656866,0.008266555288012994,0.021745879963630504,0.016276423044762938,0.5736757341026708,0.11730030528343337,1.0,0.15704506302081594,0.08002616302382737,0.0030660236188339044,0.0004925872686520175
Violin,0.027079365962267888,0.01212435393456283,0.06399345178288235,0.013417261258431871,0.9999999999999998,0.1163895352858783,0.9999508989804157,0.16639833830493395,0.038052118564510205,0.003498418034570791,0.0008847018139413699
Violin,0.010528048288432065,0.03400813524061553,0.046953795564329576,0.024033329019483986,0.9999999999999998,0.1061990645792967,0.5940079378219564,0.26719582710335177,0.05567023116855401,0.00528237993268909,0.0006275344078050553
Violin,0.038413010317672705,0.027166637482502243,0.052981568448284395,0.015451972794336416,0.5642776528688357,0.13358259420267274,0.9999999999999998,0.3492863874463257,0.11633485299926749,0.003639783384180485,0.001475176579042156
Violin,0.023902877431810327,0.027707461042738826,0.024400591088406677,0.022574473821322764,1.0,0.06580682047418324,0.8072584014430092,0.43796000864239304,0.127116294531616,0.007437081342695749,0.000695467314994494
Violin,0.015526895023238476,0.013179748680954636,0.03230992802310437,0.018550711374637586,0.5638437380364758,0.1261437165572002,0.9999999999999998,0.22867608487047322,0.13122818036510173,0.003082391808462281,0.0008952689312464095
Violin,0.038642450790811966,0.02305342727896212,0.020498617328822594,0.013779908342124959,0.6466540008646974,0.09711529667625464,1.0,0.19414070144822398,0.07718848122337814,0.0035067856081179545,0.0005957256235498652
Violin,0.04803167256966015,0.017538419179592986,0.02202430752879793,0.01861171696919458,0.6001896493930157,0.12282181298466507,1.0,0.17373633582848044,0.07163153718634276,0.0030138801283958586,0.00047085996975967264
Violin,0.02423386117195331,0.03025026776361509,0.054394633973799976,0.0252819142632085,0.9999999999999998,0.06746738131606918,0.9205184687003508,0.13993496035032668,0.033916472480030185,0.0025096819295987206,0.0006179596389586352
Violin,0.025257080753769773,0.048084500435410724,0.04576325550696748,0.028078875353684758,0.9999999999999999,0.23394721150578177,0.9711002089141967,0.38757503713924185,0.08702038420394821,0.005515879023307271,0.0013585734040769352
Violin,0.035917900209579426,0.03262265307824454,0.050623422406487706,0.027673118266699794,0.8863883779611004,0.1201729534872453,0.9999999999999998,0.375480780628223,0.1314109217084395,0.0066288960712843886,0.0008841925201361903
Violin,0.01829967486691227,0.02444051802769241,0.02359735040042171,0.02172318788679941,1.0,0.1134753473877208,0.989858500627234,0.3706173504725667,0.15305267473958448,0.006245884500195039,0.001092292903858056
Violin,0.008625732157762663,0.01606463349407637,0.030092560241486398,0.013300877860433095,0.6256445076670587,0.10298096697704984,1.0,0.18224514809899908,0.09067900058776829,0.003743178224371671,0.0004778162163463485
Violin,0.022911186828262837,0.020266992757337766,0.027730035839690484,0.018452420996918777,0.5956982818296435,0.10507297795317884,1.0,0.15815251053003823,0.08712809981330102,0.003795257609932058,0.0006005646719285631
